message,proxy_tag,true_intent,should_escalate,escalate_reason_gold,human_reply_quality_notes
oh so y’all can respond to her but ignore me? no. THIS IOS SUCKS FIX IT,other_or_general_complaint,general_complaint,False,General product complaint without clear technical diagnostic,
#Calendar app is very very slow and buggy with #ios11 on an #ipadair2 will you fix this soon ? Thank you,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
"My display autodims at night. I can’t find that setting to change it. Is it tied to night shift? If not, how can I change it? I want manual control",how_to_question,other,False,Ambiguous inquiry,
"Annnnd just like that, it's stopped working *again*. Hey can I do an out of warranty replacement with a newer model, or does it have to be the same one? #thisphoneiskickingthebucket #cantaffordanewone #crappyiphone",how_to_question,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Hey will the keyboard in landscape ever be fixed in iOS 11?,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"So, all my contacts disappeared from my work phone. Any advice on how to get them back? #iphonehelp #techadvice",how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
I was able to pre-order iPhone X for a store pick up. Do I have to pick up the phone on Nov 3? or another day?,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
11.0.3 on iPhone 5S,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
iOS 11.0.2 tiene un bug! No permite cerrar los detalles de notificaciones en el centro de notificaciones!,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
everytime i try to remove a password from a note the app crashes and the lock is still there,account_access,account_access,False,Account access and settings inquiry,
"hola, necesito ayuda. Mi iPhone presenta error 4013... hi, I need help. My iPhone presents error 4013",product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Can I trade in two older iPhones at the Apple Store in order to afford a new iPhone? Thanks!,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
How to fix this problem??,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
"It didn’t work, I even tried to reset keyboard dictionary setting, didn’t work.",account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
how do I turn off two-factor authentication? I was trying to do it for only one thing,how_to_question,account_access,False,Account access and settings inquiry,
imessage not working on ios 11,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"Hello! I have enabled Desktop and Documents sync to iCloud on my Mac, and even though I have 45GB left in iCloud storage, my Mac says its full and doesn’t sync properly. What can I do to resolve this issue? Thank you!",how_to_question,account_access,False,Account access and settings inquiry,
